Año,Lugar,Recogidas
2012, Informática, 17
2012, Ciencias, 4
2012, Políticas y Sociologia, 3
2012, Centro o Instituto, 15
2012, Facultad o Escuela, 35
2012, Servicios centrales, 36
2013, Políticas y Sociologia, 36
2013, Ciencias, 8
2013, Informática, 3
2013, Ciencias de la Educación, 16
2013, Centro o Instituto, 24
2013, Facultad o Escuela, 77
2013, Biblioteca, 8
2013, Servicios centrales, 78
2013, Fundación, 2
2014, Servicios centrales, 96
2014, Biblioteca, 4
2014, Facultad o Escuela, 72
2014, Centro o Instituto, 14
2014, Fundación, 12
2014, Ciencias, 36
2014, Políticas y Sociologia, 8
2014, Informática, 1
2015, Servicios centrales, 104
2015, Ciencias de la Educación, 84
2015, Facultad o Escuela, 10
2015, Centro o Instituto, 20
2015, Ciencias, 32
2015, Biblioteca, 13
2015, Informática, 17
