Mes,Recogidas
2012-05-01, 7
2012-06-01, 5
2012-07-01, 19
2012-09-01, 22
2012-10-01, 24
2012-11-01, 18
2012-12-01, 13
2013-02-01, 1
2013-03-01, 69
2013-04-01, 15
2013-05-01, 1
2013-06-01, 6
2013-07-01, 29
2013-09-01, 21
2013-10-01, 44
2013-11-01, 27
2013-12-01, 1
2014-02-01, 46
2014-03-01, 18
2014-04-01, 8
2014-05-01, 21
2014-06-01, 8
2014-07-01, 18
2014-09-01, 43
2014-10-01, 19
2014-11-01, 23
2014-12-01, 9
2015-02-01, 87
2015-03-01, 14
2015-04-01, 39
2015-05-01, 47
2015-06-01, 7
2015-07-01, 20
2015-09-01, 4
2015-10-01, 24
2015-11-01, 30
